StudentID,Qualification,Subject,PredictedGrade,ActualGrade
S00001,A-Level,Computer Science,B,C
S00001,A-Level,Geography,B,A*
S00001,A-Level,Chemistry,C,C
S00001,A-Level,Mathematics,D,D
S00002,GCSE,History,A,A
S00002,GCSE,Mathematics,A,A
S00002,GCSE,Computer Science,A,A
S00002,GCSE,Biology,D,D
S00002,GCSE,Geography,C,C
S00002,GCSE,Art,E,A*
S00002,GCSE,Chemistry,C,E
S00003,A-Level,Psychology,C,C
S00003,A-Level,Mathematics,C,C
S00003,A-Level,Computer Science,D,E
S00003,A-Level,Further Mathematics,B,B
S00004,A-Level,Physics,A,A
S00004,A-Level,Geography,A*,A*
S00004,A-Level,Biology,D,D
S00005,A-Level,Geography,B,B
S00005,A-Level,Economics,B,B
S00005,A-Level,Biology,D,D
S00006,GCSE,Geography,D,B
S00006,GCSE,Art,A*,A*
S00006,GCSE,Mathematics,A*,A*
S00006,GCSE,Biology,A*,A
S00006,GCSE,English Literature,A,A
S00006,GCSE,Chemistry,B,B
S00006,GCSE,History,A,A
S00006,GCSE,English Language,A,A
S00007,GCSE,History,E,E
S00007,GCSE,Biology,E,E
S00007,GCSE,Chemistry,B,B
S00007,GCSE,English Language,E,E
S00007,GCSE,Art,B,B
S00007,GCSE,Physics,D,E
S00007,GCSE,Geography,C,C
S00007,GCSE,Computer Science,A,C
S00008,A-Level,Further Mathematics,C,C
S00008,A-Level,Physics,A,A
S00008,A-Level,Economics,D,D
S00009,GCSE,Biology,D,D
S00009,GCSE,Art,B,B
S00009,GCSE,History,C,C
S00009,GCSE,French,A,A
S00009,GCSE,Geography,D,D
S00009,GCSE,Mathematics,C,C
S00010,GCSE,Computer Science,A,A
S00010,GCSE,Biology,B,B
S00010,GCSE,English Language,B,B
S00010,GCSE,Mathematics,A,E
S00010,GCSE,Art,D,D
S00010,GCSE,Geography,B,B
S00010,GCSE,History,A*,A*
S00010,GCSE,Physics,D,A
S00010,GCSE,Chemistry,B,C
S00011,GCSE,Geography,C,C
S00011,GCSE,Chemistry,B,A*
S00011,GCSE,English Language,A,D
S00011,GCSE,Mathematics,B,B
S00011,GCSE,Music,A,A
S00011,GCSE,Computer Science,C,C
S00012,A-Level,Chemistry,A*,B
S00012,A-Level,History,C,C
S00012,A-Level,Mathematics,B,B
S00013,GCSE,Music,A*,A*
S00013,GCSE,Physics,E,E
S00013,GCSE,Chemistry,C,A
S00013,GCSE,English Literature,B,B
S00013,GCSE,Biology,B,B
S00013,GCSE,Computer Science,D,B
S00013,GCSE,English Language,A,A
S00013,GCSE,French,C,A*
S00013,GCSE,History,A,A
S00014,GCSE,Chemistry,B,A*
S00014,GCSE,Physics,B,A
S00014,GCSE,Geography,C,B
S00014,GCSE,Art,B,D
S00014,GCSE,English Literature,A,A
S00014,GCSE,Mathematics,B,B
S00015,GCSE,Music,B,B
S00015,GCSE,Geography,A*,A
S00015,GCSE,History,A,A
S00015,GCSE,Computer Science,C,C
S00015,GCSE,Chemistry,B,B
S00015,GCSE,French,B,B
S00016,A-Level,Chemistry,A,A
S00016,A-Level,Computer Science,D,E
S00016,A-Level,Mathematics,C,C
S00017,GCSE,Music,B,D
S00017,GCSE,Biology,B,E
S00017,GCSE,Mathematics,B,B
S00017,GCSE,English Language,A,D
S00017,GCSE,Physics,B,B
S00017,GCSE,Computer Science,A,A
S00017,GCSE,Chemistry,B,A*
S00017,GCSE,History,B,B
S00018,A-Level,Physics,C,C
S00018,A-Level,Further Mathematics,E,D
S00018,A-Level,Psychology,D,E
S00019,GCSE,Physics,C,C
S00019,GCSE,Geography,A,A
S00019,GCSE,English Literature,A,A*
S00019,GCSE,Music,E,E
S00019,GCSE,Biology,B,B
S00019,GCSE,Mathematics,E,E
S00019,GCSE,Computer Science,A,A
S00020,GCSE,Computer Science,B,B
S00020,GCSE,Physics,A,A
S00020,GCSE,Geography,D,D
S00020,GCSE,History,C,C
S00020,GCSE,English Language,E,E
S00020,GCSE,French,A,A
S00020,GCSE,Art,B,B
S00021,GCSE,Physics,B,E
S00021,GCSE,Music,B,E
S00021,GCSE,Art,B,C
S00021,GCSE,Geography,C,C
S00021,GCSE,English Language,D,B
S00021,GCSE,French,C,C
S00021,GCSE,Biology,C,C
S00021,GCSE,History,B,D
S00021,GCSE,Computer Science,B,B
S00022,GCSE,Music,A*,E
S00022,GCSE,History,B,B
S00022,GCSE,Chemistry,A,C
S00022,GCSE,English Literature,A,A
S00022,GCSE,English Language,A,A
S00022,GCSE,French,B,B
S00022,GCSE,Art,A*,A*
S00023,GCSE,Biology,C,E
S00023,GCSE,Computer Science,B,B
S00023,GCSE,French,C,C
S00023,GCSE,Art,C,D
S00023,GCSE,Physics,A,A
S00023,GCSE,English Literature,B,B
S00023,GCSE,Mathematics,B,B
S00023,GCSE,Geography,C,B
S00024,A-Level,Physics,C,C
S00024,A-Level,Chemistry,E,E
S00024,A-Level,Further Mathematics,D,D
S00025,GCSE,History,B,B
S00025,GCSE,Biology,A*,A*
S00025,GCSE,English Language,A*,A*
S00025,GCSE,Music,D,D
S00025,GCSE,Chemistry,A*,E
S00025,GCSE,Mathematics,E,B
S00025,GCSE,French,C,C
S00025,GCSE,Art,C,C
S00026,GCSE,Geography,B,B
S00026,GCSE,Computer Science,D,A*
S00026,GCSE,Art,A*,A*
S00026,GCSE,History,B,D
S00026,GCSE,Biology,A,A
S00026,GCSE,French,A,E
S00026,GCSE,Physics,A,A*
S00026,GCSE,English Literature,B,D
S00027,GCSE,Computer Science,C,C
S00027,GCSE,Mathematics,A,A
S00027,GCSE,French,A,A
S00027,GCSE,English Literature,D,D
S00027,GCSE,Music,B,B
S00027,GCSE,Art,A,A
S00028,GCSE,Physics,D,D
S00028,GCSE,Computer Science,C,E
S00028,GCSE,History,C,A*
S00028,GCSE,Music,A,A
S00028,GCSE,Biology,A*,A*
S00028,GCSE,French,B,B
S00029,GCSE,Geography,C,C
S00029,GCSE,Music,A,A
S00029,GCSE,English Literature,B,A*
S00029,GCSE,History,C,C
S00029,GCSE,French,A,A*
S00029,GCSE,Mathematics,D,D
S00030,GCSE,Art,D,B
S00030,GCSE,Geography,C,C
S00030,GCSE,English Language,B,B
S00030,GCSE,English Literature,B,B
S00030,GCSE,Music,A*,A*
S00030,GCSE,Chemistry,C,C
S00030,GCSE,History,B,B
S00030,GCSE,Physics,A,D
S00030,GCSE,Mathematics,B,B
S00031,A-Level,Computer Science,D,D
S00031,A-Level,History,B,B
S00031,A-Level,Geography,A*,A*
S00031,A-Level,Psychology,D,D
S00032,GCSE,Computer Science,B,A
S00032,GCSE,French,C,D
S00032,GCSE,English Literature,A*,A*
S00032,GCSE,Mathematics,B,B
S00032,GCSE,Art,A,A
S00032,GCSE,Geography,C,C
S00032,GCSE,Physics,A*,A*
S00032,GCSE,English Language,D,A
S00033,GCSE,Art,B,C
S00033,GCSE,Geography,C,B
S00033,GCSE,Biology,B,B
S00033,GCSE,History,B,B
S00033,GCSE,Music,D,D
S00033,GCSE,Physics,C,C
S00033,GCSE,English Literature,B,B
S00034,GCSE,Computer Science,D,D
S00034,GCSE,Music,B,B
